cep,longitude,latitude
59123-029,-35.23943721104132,-5.747410281395731
59010-322,-35.230231586140924,-5.799156324425819
59123-027,-35.23913991415833,-5.747849953243438
59042-570,-35.211509999999976,-5.795439999999927
59035-218,-35.232399999999984,-5.802709999999934
59075-391,-35.201599999999985,-5.82863999999995
59084-060,-35.19862992465431,-5.86861494736216
59084-145,-35.199978931430024,-5.866616751838995
59082-480,-35.198111732060134,-5.868121896465366
59108-130,-35.2621149203098,-5.764449956251518
59123-282,-35.239260046007225,-5.7419209753184335
59125-411,-35.24244494048993,-5.745304955982284
59115-260,-35.28390828608575,-5.759583994399628
59122-155,-35.20537588446646,-5.74449212975956
59133-145,-35.235640433491845,-5.737256727503767
59114-220,-35.26814203319406,-5.7450229255497165
59082-160,-35.19544252108321,-5.864232184673482
59074-154,-35.2611649154039,-5.821559969718358
59069-100,-35.240897135740255,-5.844932723946627
59072-645,-35.241101839747316,-5.84475732284786
59073-090,-35.258679075778474,-5.850736208100567
59073-091,-35.25324992614485,-5.8474649539438355
59062-390,-35.22767884354164,-5.818932289711231
59123-402,-35.236819999999966,-5.736699999999927
59104-317,-35.26133810474803,-5.765574446357451
59108-000,-35.26460991951852,-5.764479942510128
59125-343,-35.243769909834384,-5.734914958353585
59108-005,-35.243769909834384,-5.734914958353585
59115-042,-35.26952992904444,-5.750179975642908
59031-120,-35.21280493829995,-5.805909950661437
59063-280,-35.215360913625226,-5.817392718052153
59056-600,-35.215360913625226,-5.817392718052153
59042-600,-35.211509999999976,-5.795439999999927
59108-360,-35.26415624246782,-5.761443376008861
59114-137,-35.27581531640485,-5.736990011658528
59122-590,-35.22724999999997,-5.7474299999999525
59108-340,-35.263684934593584,-5.759634971972384
59080-110,-35.21062493101257,-5.854774958386443
59073-084,-53.75930991198835,-25.722799955738157
59114-388,-35.28711999999996,-5.727389999999957
59054-140,-35.228104630843085,-5.812893231600084
59086-570,-35.2111869585778,-5.865175728072224
59090-538,-35.173209917346576,-5.891344971438564
59030-570,-35.20988230702106,-5.801456379975349
59133-135,-35.22537136490008,-5.745130810154191
59025-220,-35.20752991326505,-5.790504955589071
59010-115,-35.190189999999966,-5.783669999999972
59065-020,-35.21764992979246,-5.843704957907883
59074-847,-35.26501992031234,-5.8370399618693805
59070-100,-35.23481827780145,-5.826570308883411
59072-838,-35.236654889414396,-5.8311599729727766
59070-105,-35.2340111838496,-5.828338386839032
59052-425,-35.23481827780145,-5.826570308883411
59035-155,-35.232399999999984,-5.802709999999934
59042-505,-35.211509999999976,-5.795439999999927
59114-201,-35.27297489124953,-5.750414962298429
59124-430,-35.241894161421364,-5.751397643703985
59106-135,-35.274751346880606,-5.765487986171744
59074-014,-35.249920718847406,-5.825274213097208
