cep,logradouro,complemento,bairro,cidade,estado,longitude,latitude
59123-029,Rua 15 de Maio,,Pajuçara,Natal,RN,,
59010-322,Travessa 1º de Janeiro,,Rocas,Natal,RN,,
59123-027,Rua 25 de Outubro,,Pajuçara,Natal,RN,,
59042-570,Vila ABC,,Nordeste,Natal,RN,,
59035-218,Vila ABC,,Quintas,Natal,RN,,
59075-391,Vila ABC,,Nova Descoberta,Natal,RN,,
59084-060,Rua Abadia dos Dourados,,Neópolis,Natal,RN,,
59084-145,Rua Abaeté,,Neópolis,Natal,RN,,
59082-480,Rua Abaeté,,Capim Macio,Natal,RN,,
59108-130,Rua Abaiara,,Potengi,Natal,RN,,
59123-282,Travessa Abanã,,Pajuçara,Natal,RN,,
59125-411,Travessa Abaré,,Pajuçara,Natal,RN,,
59115-260,Rua Abdon Trigueiro,,Nossa Senhora da Apresentação,Natal,RN,,
59122-155,Rua Abel Dominguez,,Redinha,Natal,RN,,
59133-145,Rua Abel Fernandes da Costa,,Pajuçara,Natal,RN,,
59114-220,Rua Abmael Florêncio Bernardo,,Nossa Senhora da Apresentação,Natal,RN,,
59082-160,Rua Abraham Tahim,,Capim Macio,Natal,RN,,
59074-154,Rua Abraão Lira Filho,,Felipe Camarão,Natal,RN,,
59069-100,Avenida Abreu e Lima,,Pitimbu,Natal,RN,,
59072-645,Avenida Abreu e Lima,,Cidade Nova,Natal,RN,,
59073-090,Rua Abreulândia,,Planalto,Natal,RN,,
59073-091,Travessa Abreulândia,,Planalto,Natal,RN,,
59062-390,Rua Abílio Deodato do Nascimento,,Nossa Senhora de Nazaré,Natal,RN,,
59123-402,Travessa Acamim,,Pajuçara,Natal,RN,,
59104-317,Avenida Acaraú,,Igapó,Natal,RN,,
59108-000,Avenida Acaraú,,Potengi,Natal,RN,,
59125-343,Travessa Acaraú,,Pajuçara,Natal,RN,,
59108-005,Travessa Acaraú,,Potengi,Natal,RN,,
59115-042,Rua Acari,,Nossa Senhora da Apresentação,Natal,RN,,
59031-120,Rua Acari,,Lagoa Seca,Natal,RN,,
59063-280,Rua Acari,,Lagoa Nova,Natal,RN,,
59056-600,Rua Acari,,Lagoa Nova,Natal,RN,,
59042-600,Rua Acauá,,Nordeste,Natal,RN,,
59108-360,Rua Acelúsio Borges Gomes,,Potengi,Natal,RN,,
59114-137,Rua Achiles Monteiro,,Nossa Senhora da Apresentação,Natal,RN,,
59122-590,Rua Aclimação,,Redinha,Natal,RN,,
59108-340,Rua Acopiara,,Potengi,Natal,RN,,
59080-110,Rua Acre,,Neópolis,Natal,RN,,
59073-084,Travessa Acácia,,Planalto,Natal,RN,,
59114-388,Rua Acácio,,Nossa Senhora da Apresentação,Natal,RN,,
59054-140,Rua Adalberto Viana,,Dix-Sept Rosado,Natal,RN,,
59086-570,Rua Adauto Aurélio Fonseca,,Neópolis,Natal,RN,,
59090-538,Rua Adauto Barbosa,,Ponta Negra,Natal,RN,,
59030-570,Rua Adauto Câmara,,Barro Vermelho,Natal,RN,,
59133-135,Rua Adauto Freire da Silva,,Pajuçara,Natal,RN,,
59025-220,Rua Adelaide Moreira,,Cidade Alta,Natal,RN,,
59010-115,Rua Aderbal de Figueiredo,,Praia do Meio,Natal,RN,,
59065-020,Rua Aderbal de França,,Candelária,Natal,RN,,
59074-847,Rua Adolfo Bezerra de Meneses,,Guarapes,Natal,RN,,
59070-100,Rua Adolfo Gordo,,Cidade da Esperança,Natal,RN,,
59072-838,Rua Adolfo Gordo,,Cidade Nova,Natal,RN,,
59070-105,Travessa Adolfo Gordo,,Cidade da Esperança,Natal,RN,,
59052-425,Travessa Adolfo Gordo,,Dix-Sept Rosado,Natal,RN,,
59035-155,Vila Adolfo,,Quintas,Natal,RN,,
59042-505,Praça Adonina Damasceno Pinto,,Nordeste,Natal,RN,,
59114-201,Travessa Adriana Xavier,,Nossa Senhora da Apresentação,Natal,RN,,
59124-430,Rua Adrianópolis,,Potengi,Natal,RN,,
59106-135,Rua Adroaldo Américo,,Igapó,Natal,RN,,
59074-014,Rua Advogado Manoel Augusto,,Felipe Camarão,Natal,RN,,
59050-081,Vila Adão,,Bom Pastor,Natal,RN,,
59042-550,Vila Adélia,,Nordeste,Natal,RN,,
59114-278,Travessa Aeroporto,,Nossa Senhora da Apresentação,Natal,RN,,
59080-490,Rua Aeroporto da Pampulha,,Neópolis,Natal,RN,,
59080-520,Rua Aeroporto de Congonhas,,Neópolis,Natal,RN,,
59080-522,Travessa Aeroporto de Congonhas,,Neópolis,Natal,RN,,
