cep,longitude,latitude
59123-029,-35.2394596,-5.7474457
59010-322,-35.2299689,-5.7994669000000005
59123-027,-35.2390951,-5.7478710999999985
59042-570,-35.200916,-5.7792569
59035-218,-35.2234916,-5.8062032
59075-391,-35.19952199999999,-5.8232887
59084-060,-35.19861810000001,-5.8686272000000015
59084-145,-35.1994551,-5.867056499999999
59082-480,-35.1994551,-5.867056499999999
59108-130,-35.2623322,-5.7652797
59123-282,-35.2812401,-5.7706599
59125-411,-35.2812401,-5.7706599
59115-260,-35.28387460000001,-5.7595953999999985
59122-155,-35.2052754,-5.744485299999999
59133-145,-35.235672799999996,-5.737222600000001
59114-220,-35.26807460000001,-5.7450985999999995
59082-160,-35.1956201,-5.8644563
59074-154,-35.2612456,-5.8215792
59069-100,-35.23674660000001,-5.8482834000000015
59072-645,-35.23749760000001,-5.8476243
59073-090,-35.256436,-5.8496229999999985
59073-091,-35.25426229999999,-5.8473666999999985
59062-390,-35.2276777,-5.8189709
59123-402,-35.2812401,-5.7706599
59104-317,-35.26021470000001,-5.7658844999999985
59108-000,-35.26021470000001,-5.7658844999999985
59125-343,-35.2609292,-5.7653304000000025
59108-005,-35.2609292,-5.7653304000000025
59115-042,-35.2694917,-5.7501761
59031-120,-35.21306,-5.806222000000001
59063-280,-35.2182409,-5.8246866
59056-600,-35.2182409,-5.8246866
59042-600,-35.2439293,-5.7960227999999985
59108-360,-35.2641137,-5.7613952999999976
59114-137,-35.275954799999994,-5.7369219000000005
59122-590,-46.6309716,-23.571487
59108-340,-35.2636803,-5.7596472
59080-110,-35.21082380000001,-5.8554317000000005
59073-084,-35.253008,-5.8515269
59114-388,-35.2625001,-5.7468508
59054-140,-35.228107,-5.8129041
59086-570,-35.2111203,-5.8652166
59090-538,-35.1732333,-5.891366400000001
59030-570,-35.20983850000001,-5.801506099999999
59133-135,-35.2252671,-5.7451041
59025-220,-35.2074104,-5.790596599999999
59010-115,-35.197789,-5.7798662000000025
59065-020,-35.2170811,-5.8434510999999985
59074-847,-35.26492670000001,-5.8378212
59070-100,-35.2347398,-5.826301
59072-838,-35.23557720000001,-5.8285397
59070-105,-35.234372799999996,-5.8282207999999995
59052-425,-35.2271957,-5.8088086
59035-155,-35.2234916,-5.8062032
59042-505,-35.210704,-5.810526900000001
59114-201,-35.27299989999999,-5.750357900000001
59124-430,-35.2418735,-5.7514261
59106-135,-35.2752883,-5.7649472999999976
59074-014,-35.2498759,-5.8252393
59050-081,-35.2429333,-5.8074968999999985
59042-550,-35.25329160000001,-5.8608417
59114-278,-35.26543870000001,-5.747095
59080-490,-35.20828489999999,-5.859803400000001
59080-520,-35.2071863,-5.8595573
59080-522,-35.2071863,-5.8595573
59080-500,-35.207839,-5.8594781
59080-505,-35.207839,-5.8594781
59080-510,-35.20752810000001,-5.8595773
59091-080,-35.1978559,-5.8766243
59073-134,-35.2032237,-5.7754325999999985
59090-200,-35.173460399999996,-5.886678099999999
59020-065,-35.1973175,-5.788638
59020-100,-35.1984076,-5.7913305999999976
59020-265,-35.1992079,-5.793883399999999
59020-105,-35.1988646,-5.7921875
59115-532,-35.2752715,-5.7430314000000005
59030-210,-35.2085994,-5.7934921999999975
59037-160,-35.2220717,-5.7996045
59037-165,-35.2220717,-5.7996045
59074-752,-35.2671642,-5.839631199999999
59138-660,-35.2592124,-5.7293634
59054-660,-35.21576100000001,-5.8133465
59040-090,-35.2200584,-5.7947904999999995
59122-263,-35.2232754,-5.746265699999999
59074-864,-35.2626374,-5.8505492
59073-270,-35.2601882,-5.8553674
59108-370,-35.2646809,-5.7638479999999985
59125-413,-35.2812401,-5.7706599
59066-030,-35.2166251,-5.8480834
59069-410,-35.2356918,-5.7332964
59084-020,-35.2003469,-5.8671568
59138-602,-35.260315999999996,-5.7284953000000005
59052-211,-35.2312033,-5.8110745
59052-212,-35.233637,-5.809686
59052-213,-35.2313605,-5.811001
59115-420,-35.26313560000001,-5.751866100000001
59080-580,-35.2069161,-5.8561698999999985
59129-304,-35.2593222,-5.740322
59065-480,-35.2206615,-5.8368451
59114-165,-35.2812401,-5.7706599
59073-088,-35.24976020000001,-5.8470613
59014-140,-35.1944133,-5.7866155999999975
59133-065,-35.0485996,-6.2313861
59067-450,-35.22665750000001,-5.873559699999999
59073-187,-35.245067,-5.8442471
59072-675,-35.245067,-5.8442471
59020-330,-35.2037476,-5.7979385
59020-335,-35.2052653,-5.797050899999999
59022-185,-35.205681799999994,-5.8097480999999975
59022-300,-35.208481,-5.8086343000000005
59054-710,-35.21375379999999,-5.817245400000001
59082-300,-35.1884204,-5.8665459
59122-343,-35.2273186,-5.741270099999999
59108-530,-35.2583597,-5.7623374000000025
59037-680,-35.217594399999996,-5.7978694000000015
59014-600,-35.19812900000001,-5.7951169999999985
59014-602,-35.19812900000001,-5.7951169999999985
59104-245,-35.26291079999999,-5.7689825999999975
59082-030,-35.20288439999999,-5.8559119000000015
59072-442,-35.2631655,-5.822439900000001
59065-280,-35.21669079999999,-5.8351728
59054-410,-35.2211731,-5.8127311
59082-200,-35.19177620000001,-5.8663281
59114-236,-35.274389899999996,-5.743298900000001
59054-780,-35.2146205,-5.8159345999999985
59139-534,-35.27036610000001,-5.7227785
59114-272,-35.2752715,-5.7430314000000005
59092-570,-35.18341760000001,-5.891013
59042-110,-35.239058899999996,-5.799203500000001
59066-080,-35.21879440000001,-5.849912199999999
59074-396,-35.265969399999996,-5.822195
59080-015,-35.2094434,-5.8534625
59073-077,-35.25085960000001,-5.8439489999999985
59139-625,-35.2746395,-5.726034400000001
59015-060,-35.1979585,-5.7997989
59090-618,-35.1786552,-5.8762459000000025
59035-220,-35.2234916,-5.8062032
59012-010,-35.2032237,-5.7754325999999985
59037-155,-35.217594399999996,-5.7978694000000015
59030-356,-35.2138414,-5.7959081
59030-350,-35.212907799999996,-5.7992390999999985
59031-350,-35.212907799999996,-5.7992390999999985
59022-350,-35.2095216,-5.803682999999999
59015-350,-35.2027089,-5.80753
59030-660,-35.2098776,-5.8032704000000015
59030-355,-35.2138414,-5.7959081
59040-140,-35.21731420000001,-5.7917296999999985
59010-110,-35.1967337,-5.779252200000001
59037-080,-35.22499370000001,-5.7974596000000025
59040-170,-35.217594399999996,-5.7978694000000015
59030-020,-35.2096472,-5.7920329000000015
59022-600,-35.20567120000001,-5.8022664000000015
59054-560,-35.21745470000001,-5.8120237
59054-565,-35.21745470000001,-5.8120237
59015-100,-35.198915299999996,-5.7989741
59054-520,-35.2186975,-5.8153483
59030-230,-35.20825379999999,-5.7932875
59115-601,-35.2752715,-5.7430314000000005
59069-210,-35.24310420000001,-5.8439991
59010-120,-35.198534,-5.7796325
59010-125,-35.1971395,-5.7788163
59122-272,-35.2341642,-5.7551923999999985
59123-023,-35.2377045,-5.7489352
59112-600,-35.25872370000001,-5.7574478
59110-600,-35.258700299999994,-5.7574194000000025
59090-177,-35.174949299999994,-5.8782504
59091-070,-35.1997529,-5.872908700000001
59084-460,-35.1997529,-5.872908700000001
59131-260,-35.2450125,-5.727086
59086-375,-35.2160536,-5.8686840999999985
59124-270,-35.2502795,-5.7436468000000005
59124-450,-35.2421075,-5.7499455
59014-360,-35.18768920000001,-5.7938087
59042-250,-35.242465,-5.7974638
59042-251,-35.242465,-5.7974638
59090-310,-35.1699598,-5.8884539999999985
59123-305,-35.24720739999999,-5.7397190999999985
59123-515,-35.24720739999999,-5.7397190999999985
59090-309,-35.1699598,-5.8884539999999985
59014-440,-35.189713299999994,-5.7953408
59133-092,-35.23283,-5.728610400000001
59122-205,-35.2126071,-5.7406092000000015
59122-274,-35.234102,-5.756489699999999
59115-200,-35.2828486,-5.7610233
59132-650,-35.2451824,-5.7349307000000005
59122-036,-35.2345803,-5.7530497999999985
59123-300,-35.25677320000001,-5.7627713
59123-325,-35.2812401,-5.7706599
59068-740,-35.233632899999996,-5.8562683999999985
59122-044,-35.2338344,-5.7542269999999975
59122-039,-35.23438200000001,-5.753375399999999
59122-038,-35.2352248,-5.7536444000000015
59073-214,-35.225879600000006,-5.799870200000001
59115-210,-35.28341870000001,-5.7613114
59014-320,-35.1897723,-5.7923692
59042-270,-35.2441763,-5.799981099999999
59014-325,-35.1896989,-5.7916715
59056-170,-35.2079371,-5.8158376999999986
59050-123,-35.2234916,-5.8062032
59042-370,-35.24487120000001,-5.7957015
59042-372,-35.2443716,-5.7950905
59037-012,-35.2152818,-5.8030933
59035-149,-35.2152818,-5.8030933
59104-213,-35.2557671,-5.773857
59104-215,-35.25672120000001,-5.773539599999999
59104-210,-35.2608245,-5.771722599999999
59123-343,-35.2394382,-5.7447427000000015
59104-216,-35.2608245,-5.771722599999999
59084-040,-35.2608245,-5.771722599999999
59115-230,-35.2837516,-5.7617705
59114-179,-35.2814412,-5.736804999999999
59139-522,-35.2721881,-5.7254330000000015
59022-320,-35.2107524,-5.8089596
59073-072,-35.2453221,-5.8410784000000024
59035-040,-35.235077200000006,-5.7986153
59035-045,-35.235077200000006,-5.7986153
59080-430,-35.21116,-5.8577693
59069-190,-35.243344799999996,-5.844487
59123-012,-35.2812401,-5.7706599
59078-152,-35.2060635,-5.842918599999999
59080-130,-35.209548,-5.854877
59115-430,-35.26289939999999,-5.748680999999999
59031-450,-35.2185156,-5.795114600000002
59040-450,-35.2185156,-5.795114600000002
59125-355,-35.241729,-5.7383891
59054-730,-35.2130156,-5.8136987
59056-270,-35.2025505,-5.8144882
59080-120,-35.210188099999996,-5.8549242
59114-033,-35.2766379,-5.7553185
59062-250,-35.23627889999999,-5.8102614999999975
59075-250,-35.202441,-5.8228816
59062-350,-35.2210085,-5.8163076999999985
59054-465,-35.22091599999999,-5.8159534000000015
59054-830,-35.21558560000001,-5.8179013999999984
59063-350,-35.2155294,-5.818267899999999
59056-215,-35.2114654,-5.8192938
59075-810,-35.2108097,-5.8201855999999985
59056-265,-35.2044958,-5.822251800000001
59075-015,-35.205371899999996,-5.8219935
59054-145,-35.22971870000001,-5.8128813999999975
59062-195,-35.23034149999999,-5.8128446
59062-255,-35.2346276,-5.811604
59060-250,-35.2346276,-5.811604
59054-475,-35.2346276,-5.811604
59062-198,-35.2346276,-5.811604
59075-255,-35.198815,-5.8249194000000015
59084-050,-35.1990464,-5.8682615
59124-680,-35.2416323,-5.7509567000000015
59022-160,-35.20497039999999,-5.8015418
59090-657,-35.1727528,-5.8840392
59139-410,-35.2690429,-5.7274685
59066-480,-35.23646710000001,-5.809457099999999
59082-060,-35.2022969,-5.8580856
59037-050,-35.2241388,-5.796498400000001
59065-120,-35.2175055,-5.837991099999999
59114-061,-35.265583299999996,-5.7590483
59115-539,-35.265583299999996,-5.7590483
59114-007,-35.27345620000001,-5.748229900000001
59037-040,-35.222481,-5.799894099999999
59030-340,-35.2097276,-5.7943682
59114-005,-35.2739918,-5.7461734999999985
59012-230,-35.20004829999999,-5.7820274000000005
59020-040,-35.19997010000001,-5.7821206
59037-220,-35.217594399999996,-5.7978694000000015
59074-846,-35.200453,-5.7829321
59090-010,-35.1738831,-5.884416799999999
59090-655,-35.1738831,-5.884416799999999
59114-531,-35.277625799999996,-5.7664718
59072-772,-35.2498995,-5.8321318
59069-180,-35.24360520000001,-5.8450042999999985
59114-030,-35.2654097,-5.7562472
59073-224,-35.2550294,-5.8458280999999985
59132-640,-35.24508020000001,-5.7337051
59066-100,-35.21798010000001,-5.8506383999999985
59035-026,-35.2234916,-5.8062032
59084-150,-35.1996636,-5.8686488
59114-181,-35.2749536,-5.739726
59025-580,-35.2088803,-5.7853199
59075-030,-35.20780089999999,-5.8231626
59136-040,-35.2523723,-5.7245832000000005
59112-330,-35.2610889,-5.7528802
59063-330,-35.2166881,-5.825452500000001
