cep,longitude,latitude
59123-029,-35.2393627,-5.7474117
59035-218,-35.23318197355861,-5.8041689499999976
59084-060,-35.1981203,-5.8680667
59084-145,-35.19858950000001,-5.8677638
59082-480,-35.200819,-5.865923
59108-130,-35.2618535,-5.7637446
59115-260,-35.28400360000001,-5.7597943
59122-155,-35.20536120000001,-5.7445053
59133-145,-35.23567020000001,-5.7372303
59114-220,-35.2631769,-5.7490087999999995
59082-160,-35.1955772,-5.8643958
59069-100,-35.23291550000001,-5.8567121
59072-645,-35.2404776,-5.8452433
59073-090,-35.2582235,-5.8505057
59073-091,-35.2534345,-5.8471305000000005
59062-390,-35.2275409,-5.8186555
59104-317,-35.2602862,-5.7658755
59108-000,-35.2602667,-5.7658142
59115-042,-35.2694439,-5.7501484000000005
59031-120,-35.2125417,-5.8055871
59063-280,-35.2181287,-5.8243403
59056-600,-35.2181287,-5.8243403
59042-600,-35.24448620000001,-5.7976508
59108-360,-35.264103399999996,-5.7614072
59108-340,-35.2643164,-5.7593115
59080-110,-35.2108188,-5.855442
59086-570,-35.2111251,-5.8652076
59090-538,-35.1733746,-5.8917232
59133-135,-35.2254056,-5.745228
59025-220,-35.20715120000001,-5.790756
59070-100,-35.2366412,-5.8311987
59072-838,-35.2362818,-5.8304262000000024
59070-105,-35.2343646,-5.8282102
59124-430,-35.24198170000001,-5.7515162
59106-135,-35.27404470000001,-5.7657906
59080-490,-35.208294,-5.859787799999999
59080-520,-35.20740170000001,-5.8603793
59080-500,-35.2078578,-5.8594697
59090-200,-35.1712643,-5.8835086
59020-065,-35.196883,-5.7869928
59020-100,-35.200299799999996,-5.7962120000000015
59020-265,-35.200299799999996,-5.7962120000000015
59030-210,-35.2090546,-5.7923245
59074-752,-35.27598920000001,-5.8421195
59138-660,-35.2593099,-5.7293721
59054-660,-35.215711799999994,-5.8132635000000015
59040-090,-35.2201372,-5.7946184
59122-263,-35.22328140000001,-5.7463597
59074-864,-35.2632273,-5.8494031
59073-270,-35.25684920000001,-5.8619547
59108-370,-35.2648376,-5.764396400000001
59066-030,-35.21587279999999,-5.8485739
59084-020,-35.2003589,-5.867136
59138-602,-35.2603345,-5.728494
59115-420,-35.2631431,-5.7518782999999996
59080-580,-35.2069145,-5.8561803
59129-304,-35.2593072,-5.7403428
59065-480,-35.2209138,-5.8375265999999995
59073-088,-35.2497327,-5.8470663
59067-450,-35.2271239,-5.8742019
59073-187,-35.2443942,-5.8439478
59020-330,-35.2029366,-5.7982704000000025
59022-185,-35.2063052,-5.809497
59022-300,-35.208909999999996,-5.8084922
59054-710,-35.2111182,-5.8116143
59082-300,-35.1883888,-5.8665757
59122-343,-35.2273231,-5.741276099999999
59108-530,-35.25847920000001,-5.7625820999999995
59014-600,-35.19774860000001,-5.7952118
59104-245,-35.2628899,-5.7689231
59082-030,-35.2026497,-5.8556619
59054-410,-35.2211567,-5.8127412000000005
59082-200,-35.1917605,-5.8663246
59114-236,-35.27484120000001,-5.7437941
59054-780,-35.213958,-5.8161104
59092-570,-35.1863012,-5.888659099999999
59042-110,-35.2390321,-5.7991879
59066-080,-35.2167777,-5.8454741
59080-015,-35.2094484,-5.8535097
59073-077,-35.2512245,-5.8431995
59139-625,-35.2737951,-5.7265511
59015-060,-35.19795029999999,-5.7998083
59012-010,-35.203435999999996,-5.7763856
59030-350,-35.2125536,-5.7999537000000005
59031-350,-35.2125536,-5.7999537000000005
59022-350,-35.20530739999999,-5.8066374000000005
59015-350,-35.197492,-5.8097357
59030-660,-35.21194910000001,-5.8007794000000015
59040-140,-35.2182399,-5.7924926
59010-110,-35.197102799999996,-5.7796782
59022-600,-35.2054005,-5.8023569
59054-560,-35.2160843,-5.8125500999999975
59054-520,-35.216077,-5.816399
59030-230,-35.2081461,-5.7934499000000015
59069-210,-35.24361829999999,-5.8436799000000015
59010-120,-35.198225799999996,-5.7794042
59123-023,-35.2381013,-5.7491976
59112-600,-35.2594095,-5.7579562000000015
59110-600,-35.2594095,-5.7579562000000015
59090-177,-35.17524210000001,-5.878462799999999
59091-070,-35.1992539,-5.8721407
59084-460,-35.1992539,-5.8721407
59131-260,-35.2450861,-5.7271142
59124-270,-35.2502346,-5.743633999999999
59014-360,-35.1882869,-5.7942869
