logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua 15 de Maio,,Pajuçara,Natal,RN,59123-029,-35.23943721104132,-5.747410281395731
Travessa 1º de Janeiro,,Rocas,Natal,RN,59010-322,-35.23023158614092,-5.799156324425819
Rua 25 de Outubro,,Pajuçara,Natal,RN,59123-027,-35.23913991415833,-5.747849953243438
Vila ABC,,Nordeste,Natal,RN,59042-570,-35.211509999999976,-5.795439999999928
Vila ABC,,Quintas,Natal,RN,59035-218,-35.232399999999984,-5.802709999999934
Vila ABC,,Nova Descoberta,Natal,RN,59075-391,-35.201599999999985,-5.82863999999995
Rua Abadia dos Dourados,,Neópolis,Natal,RN,59084-060,-35.19862992465431,-5.868614947362161
Rua Abaeté,,Neópolis,Natal,RN,59084-145,-35.199978931430024,-5.866616751838995
Rua Abaeté,,Capim Macio,Natal,RN,59082-480,-35.19811173206013,-5.868121896465366
Rua Abaiara,,Potengi,Natal,RN,59108-130,-35.2621149203098,-5.764449956251518
Travessa Abanã,,Pajuçara,Natal,RN,59123-282,-35.239260046007225,-5.741920975318433
Travessa Abaré,,Pajuçara,Natal,RN,59125-411,-35.24244494048993,-5.745304955982284
Rua Abdon Trigueiro,,Nossa Senhora da Apresentação,Natal,RN,59115-260,-35.28390828608574,-5.759583994399628
Rua Abel Dominguez,,Redinha,Natal,RN,59122-155,-35.20537588446646,-5.74449212975956
Rua Abel Fernandes da Costa,,Pajuçara,Natal,RN,59133-145,-35.23564043349184,-5.737256727503767
Rua Abmael Florêncio Bernardo,,Nossa Senhora da Apresentação,Natal,RN,59114-220,-35.26814203319406,-5.7450229255497165
Rua Abraham Tahim,,Capim Macio,Natal,RN,59082-160,-35.19544252108321,-5.864232184673482
Rua Abraão Lira Filho,,Felipe Camarão,Natal,RN,59074-154,-35.261164915403896,-5.821559969718358
Avenida Abreu e Lima,,Pitimbu,Natal,RN,59069-100,-35.24089713574025,-5.844932723946627
Avenida Abreu e Lima,,Cidade Nova,Natal,RN,59072-645,-35.24110183974732,-5.84475732284786
Rua Abreulândia,,Planalto,Natal,RN,59073-090,-35.258679075778474,-5.8507362081005665
Travessa Abreulândia,,Planalto,Natal,RN,59073-091,-35.253249926144846,-5.847464953943835
Rua Abílio Deodato do Nascimento,,Nossa Senhora de Nazaré,Natal,RN,59062-390,-35.22767884354164,-5.818932289711231
Travessa Acamim,,Pajuçara,Natal,RN,59123-402,-35.236819999999966,-5.736699999999928
