cep,udh
11111-111,
59655-000,
59140-190,1240325100007
59054-550,1240810200020
59570-000,1240260000008
59120-200,1240810200053
59300-000,
59072-480,1240810200046
59060-480,1240810200046
59618-120,
59092-560,1240810200013
59110-185,1240810200053
59650-000,
59088-060,1240810200016
59120-130,1240810200053
59042-250,1240810200045
59052-136,1240810200037
59062-380,1240810200022
59086-340,1240810200019
59092-580,1240810200013
59218-000,
59056-300,1240810200020
59000-000,
59158-150,1240325100022
59584-000,
59675-000,
59138-160,1240810200059
59360-000,
59500-000,
59143-455,1240325100020
59760-000,
59140-220,1240325100007
59104-400,1240810200054
59122-060,1240810200007
59508-000,
59255-000,
59115-200,1240810200055
59062-130,1240810200041
59290-000,
59090-665,1240810200012
59030-170,1240810200035
59069-150,1240810200017
59370-000,
59094-580,1240810200013
59090-530,1240810200011
59052-290,1240810200041
59547-000,
59073-230,1240810200048
59035-660,1240810200045
59014-016,1240810200002
59064-902,1240810200021
59318-000,
59215-000,
59075-350,1240810200010
59618-730,
59157-160,1240325100005
59299-400,1241200500014
59064-430,1240810200020
59150-000,
59064-390,1240810200022
59610-190,
59074-750,1240810200048
59074-770,1240810200048
59600-010,
59605-470,
59140-720,1240325100009
59086-290,1240810200019
59108-205,1240810200054
59908-000,
59600-970,
59612-030,
59700-000,
59020-120,1240810200001
59078-390,1240810200013
59056-500,1240810200020
59022-150,1240810200032
59152-822,1240325100034
59280-000,1240710400017
59056-720,1240810200020
59014-000,1240810200002
59790-000,
59795-000,
59144-850,1240325100020
59830-000,
59618-700,
59695-000,
59071-550,1240810200041
59609-005,
59065-560,1240810200021
59480-000,
58150-820,
59071-460,1240810200041
59380-000,
59470-000,
59631-481,
59070-340,1240810200041
59074-720,1240810200048
59400-000,
59140-390,1240325100004
59170-000,
59088-342,1240810200016
59575-000,1240360800001
59515-000,
59162-000,1241220300011
59010-375,1240810200008
59507-000,
59295-838,1241200500008
59076-510,1240810200015
59074-430,1240810200049
59190-000,
59066-800,1240810200013
59600-000,
59604-140,
59625-526,
59094-490,1240810200013
59073-150,1240810200042
59086-005,1240810200019
59621-030,
59122-274,1240810200058
59245-000,
59072-974,1240810200041
59060-100,1240810200046
59075-750,1240810200020
59062-195,1240810200041
59315-000,
59147-045,1240325100023
59810-000,
59075-230,1240810200010
59104-240,1240810200056
59148-430,1240325100012
59152-600,1240325100021
59080-280,1240810200019
59149-235,1240325100024
59148-450,1240325100012
59060-390,1240810200041
59070-490,1240810200041
59075-370,1240810200010
59612-310,
59073-105,1240810200044
59140-340,1240325100007
59611-320,
59012-170,1240810200030
59070-370,1240810200041
59220-000,
59054-460,1240810200020
59196-000,
59900-000,
59088-514,1240810200016
59014-500,1240810200001
59585-000,
59518-000,
59158-160,1240325100010
59069-240,1240810200017
59615-530,
59161-585,1240325100026
59014-190,1240810200002
59056-140,1240810200020
59320-000,
59014-180,1240810200002
59104-250,1240810200056
59104-030,1240810200056
59520-000,
59122-636,1240810200058
59114-290,1240810200055
59080-370,1240810200019
59152-780,1240325100021
59965-000,
59022-040,1240810200001
59015-350,1240810200001
59151-120,1240325100021
59022-180,1240810200032
59070-715,1240810200041
59066-180,1240810200022
59148-330,1240325100012
59025-370,1240810200035
59076-650,1240810200020
59042-320,1240810200045
59040-000,1240810200031
59120-290,1240810200053
59052-080,1240810200046
59054-570,1240810200018
59607-340,
59054-020,1240810200041
59114-178,1240810200005
59155-600,1240325100018
59293-560,
59060-734,1240810200046
59598-000,
59219-000,
59535-000,
59200-000,
59144-365,1240325100020
59120-060,1240810200053
59040-240,1240810200045
59035-310,1240810200045
59330-000,
59141-185,1240325100031
59133-332,1240810200059
59072-785,1240810200048
59014-014,1240810200002
59066-050,1240810200022
59132-698,1240810200004
59600-320,
59146-150,1240325100019
59184-000,1241480300001
59054-600,1240810200041
59132-340,1240810200059
59115-320,1240810200055
59420-000,
59080-150,1240810200019
59335-000,
59139-340,1240810200004
59025-902,1240810200033
59067-610,1240810200019
59310-000,
59104-300,1240810200053
59244-000,
59052-450,1240810200041
59106-016,1240810200056
59151-903,1240325100021
59155-480,1240325100015
59115-565,1240810200005
59586-000,
59596-000,
59490-000,
58240-000,
59072-312,1240810200049
59010-460,1240810200030
59054-380,1240810200020
59074-300,1240810200049
59104-290,1240810200053
59114-835,1240810200056
59148-550,1240325100012
59072-700,1240810200041
59073-130,1240810200042
59068-380,1240810200019
59920-000,
59035-060,1240810200045
59129-800,1240810200059
59073-350,1240810200048
59076-680,1240810200015
59022-020,1240810200001
59030-000,1240810200041
59031-070,1240810200032
59164-000,1240820100001
59124-270,1240810200053
59146-460,1240325100023
59560-000,
59627-564,
59010-240,1240810200030
59031-150,1240810200032
59114-030,1240810200056
59665-000,
59970-000,
59035-186,1240810200045
59192-000,
59080-180,1240810200019
59550-000,
59074-566,1240810200049
59114-261,1240810200005
59173-000,
59074-330,1240810200050
59080-420,1240810200019
59615-336,
59601-060,
59612-060,
59600-100,
59112-230,1240810200053
59022-460,1240810200001
59780-000,
59075-361,1240810200020
59088-630,1240325100021
59145-820,1240325100025
59293-393,1241200500016
59600-485,
59031-700,1240810200031
59014-100,1240810200003
59124-400,1240810200053
59012-146,1240810200030
59135-240,1240810200059
59740-000,
59607-150,
59030-060,1240810200035
59135-180,1240810200059
59139-070,1240810200059
59663-000,
59605-075,
59618-000,
59064-250,1240810200022
59010-094,1240810200030
59578-000,
59258-000,
59142-105,1240325100029
59730-000,
59668-000,
59010-420,1240810200030
59129-480,1240810200059
59143-040,1240325100032
59071-050,1240810200041
59068-610,1240810200017
59611-200,
59104-230,1240810200056
59155-001,1240325100015
59122-070,1240810200058
59129-470,1240810200059
59149-313,1240325100014
59141-430,1240325100029
59504-000,
59025-530,1240810200035
59127-490,1240810200053
59259-000,
59015-230,1240810200001
59074-150,1240810200049
59621-524,
59374-000,
59194-000,
59075-100,1240810200010
59125-300,1240810200004
59072-070,1240810200039
59124-010,1240810200053
59090-337,1240810200011
59355-000,
59410-000,
59060-190,1240810200046
59135-410,1240810200059
59114-310,1240810200055
59108-300,1240810200053
59230-000,
59060-122,1240810200046
59114-232,1240810200005
59014-280,1240810200002
59114-113,1240810200005
59631-140,
59014-150,1240810200003
59141-045,1240325100031
59069-040,1240810200017
59072-100,1240810200020
59062-040,1240810200041
59070-400,1240810200041
59324-000,
59067-700,1240810200019
59152-690,1240325100021
59138-470,1240810200059
59210-000,
59227-000,
59594-000,
59078-400,1240810200013
59052-700,1240810200041
59074-560,1240810200048
59066-430,1240810200022
59032-300,1240810200031
59092-570,1240810200013
59145-720,1240325100025
59618-710,
59464-000,
59600-450,
58668-000,
59460-000,
59035-150,1240810200046
59131-830,1240810200059
59465-129,
59129-465,1240810200059
59296-814,1241200500001
59127-720,1240810200053
59607-260,
59775-000,
59610-160,
59140-740,1240325100009
59149-333,1240325100014
59094-310,1240810200013
59091-150,1240810200016
59067-902,
59075-740,1240810200022
59180-000,
59122-050,1240810200058
59031-170,1240810200025
59378-000,
00000-000,
59104-210,1240810200056
59805-000,
59072-325,1240810200049
59129-810,1240810200059
59155-620,1240325100018
59649-899,
59114-145,1240810200056
59129-430,1240810200006
59565-000,
59148-845,1240325100012
59072-522,
59064-490,1240810200022
59611-010,
59015-120,1240810200001
59025-430,1240810200035
59022-300,1240810200031
59139-190,1240810200004
59225-000,
59145-000,1240325100025
59063-090,1240810200020
59037-440,1240810200031
59147-410,1240325100033
59800-000,
59010-550,1240810200030
59075-710,1240810200022
59074-305,1240810200049
59060-010,1240810200046
59074-080,1240810200049
59073-210,1240810200048
59054-630,
59065-360,1240810200021
59020-505,1240810200001
59115-535,1240810200005
59131-630,1240810200059
59124-070,1240810200053
59064-500,1240810200020
59022-600,1240810200032
59142-740,1240325100003
59131-380,1240810200059
59035-480,1240810200046
59110-600,1240810200053
59631-640,
59037-350,1240810200031
59296-560,1241200500022
59114-000,1240810200056
59104-340,1240810200056
59088-100,1240325100008
59056-520,1240810200020
59590-000,
59073-071,1240810200048
59240-000,
59298-899,1241200500001
59108-230,1240810200053
59142-380,1240325100030
59035-140,1240810200045
59158-760,1240325100022
59580-000,1240750000001
59120-598,1240810200053
59037-370,1240810200031
59054-430,1240810200020
59140-001,1240325100004
59298-000,
59188-000,
59125-260,1240810200059
59343-000,
59296-817,1241200500012
59127-230,1240810200053
59104-260,1240810200056
59607-020,
59010-810,1240810200030
59104-110,1240810200056
59612-045,
59120-470,1240810200053
59075-250,1240810200020
59138-400,1240810200059
59327-000,
59153-902,1240325100016
59104-170,1240810200053
59141-170,1240325100031
59840-000,
59141-160,1240325100002
59012-060,1240810200030
59114-470,1240810200055
59067-350,1240810200019
59067-400,1240810200019
59690-000,
59131-120,1240810200059
59123-610,1240810200008
59082-070,1240810200013
59108-005,1240810200053
59106-035,1240810200056
59122-370,1240810200058
59082-120,1240810200013
59114-185,1240810200005
59062-310,1240810200037
59582-000,
59072-500,1240810200041
59144-286,1240325100020
59060-380,1240810200041
59015-010,1240810200001
59030-500,1240810200035
59032-600,1240810200041
59060-370,1240810200041
59611-070,
59990-000,
59074-060,1240810200049
59010-480,1240810200030
59054-520,1240810200020
59073-140,1240810200042
59610-090,
59066-030,1240810200022
59078-420,1240810200013
59060-160,1240810200046
59064-740,1240810200021
59092-120,1240810200013
59074-700,1240810200048
59104-280,1240810200056
59080-520,1240810200019
59149-336,1240325100014
59068-120,1240810200019
59068-130,1240810200019
59600-001,
59270-000,
59086-070,1240810200016
59122-130,1240810200058
59141-730,1240325100029
59071-220,1240810200041
59069-510,1240810200017
59149-230,1240325100024
59073-160,1240810200042
59605-320,
59600-190,
59122-200,1240810200058
59115-567,
59114-200,1240810200056
59032-150,1240810200025
59073-234,1240810200048
59123-578,1240810200008
59073-183,
59120-270,1240810200053
59090-315,1240810200011
59012-140,1240810200030
59139-140,1240810200004
59063-650,1240810200022
59148-676,1240325100012
59149-090,1241220300002
59136-040,1240810200004
59295-850,1241200500008
59390-000,
