logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua 15 de Maio,,Pajuçara,Natal,RN,59123-029,-35.2393627,-5.7474117
Vila ABC,,Quintas,Natal,RN,59035-218,-35.23318197355861,-5.804168949999999
Rua Abadia dos Dourados,,Neópolis,Natal,RN,59084-060,-35.1981203,-5.8680667
Rua Abaeté,,Neópolis,Natal,RN,59084-145,-35.1985895,-5.8677638
Rua Abaeté,,Capim Macio,Natal,RN,59082-480,-35.200819,-5.865923
Rua Abaiara,,Potengi,Natal,RN,59108-130,-35.2618535,-5.7637446
Rua Abdon Trigueiro,,Nossa Senhora da Apresentação,Natal,RN,59115-260,-35.2840036,-5.7597943
Rua Abel Dominguez,,Redinha,Natal,RN,59122-155,-35.2053612,-5.7445053
Rua Abel Fernandes da Costa,,Pajuçara,Natal,RN,59133-145,-35.2356702,-5.7372303
Rua Abmael Florêncio Bernardo,,Nossa Senhora da Apresentação,Natal,RN,59114-220,-35.2631769,-5.7490088
Rua Abraham Tahim,,Capim Macio,Natal,RN,59082-160,-35.1955772,-5.8643958
Avenida Abreu e Lima,,Pitimbu,Natal,RN,59069-100,-35.2329155,-5.8567121
Avenida Abreu e Lima,,Cidade Nova,Natal,RN,59072-645,-35.2404776,-5.8452433
Rua Abreulândia,,Planalto,Natal,RN,59073-090,-35.2582235,-5.8505057
Travessa Abreulândia,,Planalto,Natal,RN,59073-091,-35.2534345,-5.8471305
Rua Abílio Deodato do Nascimento,,Nossa Senhora de Nazaré,Natal,RN,59062-390,-35.2275409,-5.8186555
Avenida Acaraú,,Igapó,Natal,RN,59104-317,-35.2602862,-5.7658755
Avenida Acaraú,,Potengi,Natal,RN,59108-000,-35.2602667,-5.7658142
Rua Acari,,Nossa Senhora da Apresentação,Natal,RN,59115-042,-35.2694439,-5.7501484
Rua Acari,,Lagoa Seca,Natal,RN,59031-120,-35.2125417,-5.8055871
Rua Acari,,Lagoa Nova,Natal,RN,59063-280,-35.2181287,-5.8243403
Rua Acari,,Lagoa Nova,Natal,RN,59056-600,-35.2181287,-5.8243403
Rua Acauá,,Nordeste,Natal,RN,59042-600,-35.2444862,-5.7976508
Rua Acelúsio Borges Gomes,,Potengi,Natal,RN,59108-360,-35.2641034,-5.7614072
Rua Acopiara,,Potengi,Natal,RN,59108-340,-35.2643164,-5.7593115
Rua Acre,,Neópolis,Natal,RN,59080-110,-35.2108188,-5.855442
Rua Adauto Aurélio Fonseca,,Neópolis,Natal,RN,59086-570,-35.2111251,-5.8652076
Rua Adauto Barbosa,,Ponta Negra,Natal,RN,59090-538,-35.1733746,-5.8917232
Rua Adauto Freire da Silva,,Pajuçara,Natal,RN,59133-135,-35.2254056,-5.745228
Rua Adelaide Moreira,,Cidade Alta,Natal,RN,59025-220,-35.2071512,-5.790756
Rua Adolfo Gordo,,Cidade da Esperança,Natal,RN,59070-100,-35.2366412,-5.8311987
Rua Adolfo Gordo,,Cidade Nova,Natal,RN,59072-838,-35.2362818,-5.8304262
Travessa Adolfo Gordo,,Cidade da Esperança,Natal,RN,59070-105,-35.2343646,-5.8282102
Rua Adrianópolis,,Potengi,Natal,RN,59124-430,-35.2419817,-5.7515162
Rua Adroaldo Américo,,Igapó,Natal,RN,59106-135,-35.2740447,-5.7657906
Rua Aeroporto da Pampulha,,Neópolis,Natal,RN,59080-490,-35.208294,-5.8597878
Rua Aeroporto de Congonhas,,Neópolis,Natal,RN,59080-520,-35.2074017,-5.8603793
Rua Aeroporto do Galeão,,Neópolis,Natal,RN,59080-500,-35.2078578,-5.8594697
Rua Afonso Magalhães,,Ponta Negra,Natal,RN,59090-200,-35.1712643,-5.8835086
Avenida Afonso Pena,597,Petrópolis,Natal,RN,59020-065,-35.196883,-5.7869928
Avenida Afonso Pena,753,Tirol,Natal,RN,59020-100,-35.2002998,-5.796212
Avenida Afonso Pena,909,Tirol,Natal,RN,59020-265,-35.2002998,-5.796212
Rua Afrânio Peixoto,,Barro Vermelho,Natal,RN,59030-210,-35.2090546,-5.7923245
Rua Agenor Marcolino,,Guarapes,Natal,RN,59074-752,-35.2759892,-5.8421195
Rua Agogô,,Lagoa Azul,Natal,RN,59138-660,-35.2593099,-5.7293721
Rua Agostinho Almeida,,Lagoa Nova,Natal,RN,59054-660,-35.2157118,-5.8132635
Rua Agostinho Leitão,,Alecrim,Natal,RN,59040-090,-35.2201372,-5.7946184
Rua Agracelle,,Redinha,Natal,RN,59122-263,-35.2232814,-5.7463597
Rua Agrestina,,Guarapes,Natal,RN,59074-864,-35.2632273,-5.8494031
Rua Agrestina,,Planalto,Natal,RN,59073-270,-35.2568492,-5.8619547
Rua Agricolândia,,Potengi,Natal,RN,59108-370,-35.2648376,-5.7643964
Rua Aguinaldo Gurgel Júnior,,Candelária,Natal,RN,59066-030,-35.2158728,-5.8485739
Rua Aimorés,,Neópolis,Natal,RN,59084-020,-35.2003589,-5.867136
Rua Aires da Cunha,,Lagoa Azul,Natal,RN,59138-602,-35.2603345,-5.728494
Rua Aladim,,Nossa Senhora da Apresentação,Natal,RN,59115-420,-35.2631431,-5.7518783
Rua Alagoas,,Neópolis,Natal,RN,59080-580,-35.2069145,-5.8561803
Rua Alagoinha,,Lagoa Azul,Natal,RN,59129-304,-35.2593072,-5.7403428
Rua Alamanda,,Candelária,Natal,RN,59065-480,-35.2209138,-5.8375266
Travessa Alameda dos Coqueirais,,Planalto,Natal,RN,59073-088,-35.2497327,-5.8470663
Rua Albatroz,,Pitimbu,Natal,RN,59067-450,-35.2271239,-5.8742019
Rua Albertina Bezerra,,Planalto,Natal,RN,59073-187,-35.2443942,-5.8439478
Rua Alberto Maranhão,,Tirol,Natal,RN,59020-330,-35.2029366,-5.7982704
Rua Alberto Silva,,Tirol,Natal,RN,59022-185,-35.2063052,-5.809497
Rua Alberto Silva,,Lagoa Seca,Natal,RN,59022-300,-35.20891,-5.8084922
Rua Albino Fernandes Borges,,Lagoa Nova,Natal,RN,59054-710,-35.2111182,-5.8116143
Rua Alcindo Dias de Oliveira,,Capim Macio,Natal,RN,59082-300,-35.1883888,-5.8665757
Rua Alcione Dowsley,,Pajuçara,Natal,RN,59122-343,-35.2273231,-5.7412761
Rua Alcântara,,Potengi,Natal,RN,59108-530,-35.2584792,-5.7625821
Rua Alda Ramalho Pereira,,Tirol,Natal,RN,59014-600,-35.1977486,-5.7952118
Travessa Aldeia Nova,,Igapó,Natal,RN,59104-245,-35.2628899,-5.7689231
Rua Aldo de Melo Freire,,Capim Macio,Natal,RN,59082-030,-35.2026497,-5.8556619
Rua Alexandre Chaves Neto,,Lagoa Nova,Natal,RN,59054-410,-35.2211567,-5.8127412
Rua Alexandre Câmara,,Capim Macio,Natal,RN,59082-200,-35.1917605,-5.8663246
Rua Alexandre Pinto,,Nossa Senhora da Apresentação,Natal,RN,59114-236,-35.2748412,-5.7437941
Rua Alexandria,,Lagoa Nova,Natal,RN,59054-780,-35.213958,-5.8161104
Rua Alfredo Dias de Figueiredo,,Ponta Negra,Natal,RN,59092-570,-35.1863012,-5.8886591
Rua Alfredo Edeltrudes,,Nordeste,Natal,RN,59042-110,-35.2390321,-5.7991879
Rua Alfredo Pegado Cortez,,Candelária,Natal,RN,59066-080,-35.2167777,-5.8454741
Rua Alice Azevedo,,Capim Macio,Natal,RN,59080-015,-35.2094484,-5.8535097
Rua Alice Câmara,,Planalto,Natal,RN,59073-077,-35.2512245,-5.8431995
Rua Aline Veríssimo,,Lagoa Azul,Natal,RN,59139-625,-35.2737951,-5.7265511
Rua Almeida Castro,,Tirol,Natal,RN,59015-060,-35.1979503,-5.7998083
Rua Almino Afonso,,Ribeira,Natal,RN,59012-010,-35.203436,-5.7763856
Avenida Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59030-350,-35.2125536,-5.7999537
Avenida Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59031-350,-35.2125536,-5.7999537
Avenida Almirante Alexandrino de Alencar,,Lagoa Seca,Natal,RN,59022-350,-35.2053074,-5.8066374
Avenida Almirante Alexandrino de Alencar,,Tirol,Natal,RN,59015-350,-35.197492,-5.8097357
Avenida Almirante Alexandrino de Alencar,,Barro Vermelho,Natal,RN,59030-660,-35.2119491,-5.8007794
Rua Almirante Aristides Guilhem,,Alecrim,Natal,RN,59040-140,-35.2182399,-5.7924926
Rua Almirante Barroso,,Praia do Meio,Natal,RN,59010-110,-35.1971028,-5.7796782
Rua Almirante Nelson Fernandes,,Barro Vermelho,Natal,RN,59022-600,-35.2054005,-5.8023569
Rua Almirante Tamandaré,,Lagoa Nova,Natal,RN,59054-560,-35.2160843,-5.8125501
Rua Almirante Tértius Rebelo,,Lagoa Nova,Natal,RN,59054-520,-35.216077,-5.816399
Rua Alonso de Almeida,,Barro Vermelho,Natal,RN,59030-230,-35.2081461,-5.7934499
Rua Alpinópolis,,Pitimbu,Natal,RN,59069-210,-35.2436183,-5.8436799
Rua Altamira,,Praia do Meio,Natal,RN,59010-120,-35.1982258,-5.7794042
Rua Altamiro Lopes,,Pajuçara,Natal,RN,59123-023,-35.2381013,-5.7491976
Rua Altaneira,2717,Potengi,Natal,RN,59112-600,-35.2594095,-5.7579562
Rua Altaneira,2719,Potengi,Natal,RN,59110-600,-35.2594095,-5.7579562
Rua Altemar Dutra,,Ponta Negra,Natal,RN,59090-177,-35.1752421,-5.8784628
Rua Alterosa,,Ponta Negra,Natal,RN,59091-070,-35.1992539,-5.8721407
Rua Alterosa,,Neópolis,Natal,RN,59084-460,-35.1992539,-5.8721407
Rua Altinópolis,,Pajuçara,Natal,RN,59131-260,-35.2450861,-5.7271142
Rua Alto Paraná,,Potengi,Natal,RN,59124-270,-35.2502346,-5.743634
Rua Alto da Bacia,,Mãe Luiza,Natal,RN,59014-360,-35.1882869,-5.7942869
Rua Alto da Bela Vista,,Nordeste,Natal,RN,59042-250,-35.2421926,-5.7967978
Rua Alto da Boa Vista,,Ponta Negra,Natal,RN,59090-310,-35.1700399,-5.8886969
Rua Alto da Boa Vista,,Pajuçara,Natal,RN,59123-305,-35.2459766,-5.7408185
Rua Alto da Boa Vista,,Pajuçara,Natal,RN,59123-515,-35.2459766,-5.7408185
Rua Alto da Colina,,Mãe Luiza,Natal,RN,59014-440,-35.1901625,-5.7949076
Rua Alto da Colina,,Pajuçara,Natal,RN,59133-092,-35.2323818,-5.728861
Rua Alto da Conceição,,Redinha,Natal,RN,59122-205,-35.2127846,-5.7398757
Rua Alto da Floresta,,Redinha,Natal,RN,59122-274,-35.2346025,-5.7568641
Rua Alto da Glória,,Nossa Senhora da Apresentação,Natal,RN,59115-200,-35.2823997,-5.7613622
Rua Alto da Graça,,Pajuçara,Natal,RN,59132-650,-35.245062,-5.7350086
Rua Alto da Liberdade,,Redinha,Natal,RN,59122-036,-35.23457,-5.7530791
Rua Alto da Serra,,Pitimbu,Natal,RN,59068-740,-35.2343478,-5.8558515
Rua Alto da Torre,,Redinha,Natal,RN,59122-044,-35.2327432,-5.7537561
Rua Alto das Dunas,,Redinha,Natal,RN,59122-039,-35.2345023,-5.75413
Rua Alto do Miramar,,Redinha,Natal,RN,59122-038,-35.2351083,-5.7538045
Rua Alto dos Coqueiros,,Nossa Senhora da Apresentação,Natal,RN,59115-210,-35.2827443,-5.7618212
Rua Aluízio Alves,,Mãe Luiza,Natal,RN,59014-320,-35.1902778,-5.7928809
Rua Aluízio Alves,,Nordeste,Natal,RN,59042-270,-35.2440669,-5.8000351
Travessa Aluízio Alves,,Mãe Luiza,Natal,RN,59014-325,-35.1897159,-5.7916693
